soc_code_clean,high_exposure_score,low_exposure_score,ai_exposure_score,soc_code,occupation_title
25-1065,2.5225,1.6283333333333332,0.8941666666666668,25-1065,"Political Science Teachers, Postsecondary"
25-1066,2.965,2.0616666666666665,0.9033333333333333,25-1066,"Psychology Teachers, Postsecondary"
25-1067,3.085,2.0433333333333334,1.0416666666666665,25-1067,"Sociology Teachers, Postsecondary"
25-1071,3.245,2.533333333333333,0.7116666666666669,25-1071,"Health Specialties Teachers, Postsecondary"
25-1072,3.1100000000000003,2.545,0.5650000000000004,25-1072,"Nursing Instructors and Teachers, Postsecondary"
25-1081,2.63,1.9533333333333331,0.6766666666666667,25-1081,"Education Teachers, Postsecondary"
25-1082,2.8449999999999998,1.9799999999999998,0.865,25-1082,"Library Science Teachers, Postsecondary"
25-1111,2.95,2.65,0.30000000000000027,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
25-1112,2.1875,1.505,0.6825000000000001,25-1112,"Law Teachers, Postsecondary"
25-1113,2.83,2.305,0.5249999999999999,25-1113,"Social Work Teachers, Postsecondary"
25-1121,2.5525,2.275,0.2775000000000003,25-1121,"Art, Drama, and Music Teachers, Postsecondary"
25-1122,2.76,1.9433333333333334,0.8166666666666664,25-1122,"Communications Teachers, Postsecondary"
25-1123,2.5075,2.0733333333333333,0.4341666666666666,25-1123,"English Language and Literature Teachers, Postsecondary"
25-1124,2.1774999999999998,1.4283333333333335,0.7491666666666663,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
25-1125,2.635,1.86,0.7749999999999997,25-1125,"History Teachers, Postsecondary"
25-1126,2.19,1.6183333333333334,0.5716666666666665,25-1126,"Philosophy and Religion Teachers, Postsecondary"
25-1192,3.09,2.345,0.7449999999999997,25-1192,"Family and Consumer Sciences Teachers, Postsecondary"
25-1193,3.02,2.4683333333333333,0.5516666666666667,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary"
25-1194,3.3875,2.9933333333333336,0.39416666666666655,25-1194,"Career/Technical Education Teachers, Postsecondary"
25-2011,2.0475,2.2216666666666667,-0.1741666666666668,25-2011,"Preschool Teachers, Except Special Education"
25-2012,2.9925,2.3766666666666665,0.6158333333333337,25-2012,"Kindergarten Teachers, Except Special Education"
25-2021,2.9699999999999998,2.4433333333333334,0.5266666666666664,25-2021,"Elementary School Teachers, Except Special Education"
25-2022,2.8325,2.1083333333333334,0.7241666666666666,25-2022,"Middle School Teachers, Except Special and Career/Technical Education"
25-2023,3.2199999999999998,2.4099999999999997,0.81,25-2023,"Career/Technical Education Teachers, Middle School"
25-2031,2.6399999999999997,2.2416666666666667,0.398333333333333,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"
25-2032,2.975,2.585,0.3900000000000001,25-2032,"Career/Technical Education Teachers, Secondary School"
25-2051,2.6325000000000003,2.42,0.21250000000000036,25-2051,"Special Education Teachers, Preschool"
25-2057,3.0325,2.375,0.6575000000000002,25-2057,"Special Education Teachers, Middle School"
25-2058,3.135,2.7116666666666664,0.42333333333333334,25-2058,"Special Education Teachers, Secondary School"
25-2059,2.3850000000000002,2.2816666666666667,0.1033333333333335,25-2059,"Special Education Teachers, All Other"
25-3011,2.4375,1.8083333333333333,0.6291666666666667,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
25-3021,2.0375,1.86,0.1775,25-3021,Self-Enrichment Teachers
