job_title,cluster,cluster_v2
"Technical Program Manager - Data Center Infrastructure, Civil, Structural, Architectural Solutions",7,3
"Senior Biostatistician / Data Reporting and Analytics Consultant IV, Epidemiologic Research",8,15
Medical Technologist/MLT/POC (Full-time Night Shift + Bonus),20,33
Data Designer,10,39
Lead Software Engineer - Big Data,16,17
"Associate Manager, IT Customer & Consumer Data Owner, Kohler Energy",10,37
Financial Data Analyst - FP&A Technology & Market Data Finance,5,47
Data Center Engineer - Las Vegas,15,2
"Senior Enterprise Cloud Architect, Data",29,31
"Sr. Principal Scientist, Global Commercial Data Science",4,18
Marketing Data Analyst,5,50
Manager of Data Center Operations (San Jose),2,32
Data Engineer - Hybrid,6,36
"Cloud Data Engineer, Sr. Consultant",6,15
IT Data Engineering Manager,7,22
Senior Research Associate / Associate Scientist Data Reviewer,12,37
"Technical Product Manager - B2B (EDI, IDoc, ERP Integrations) Data Exchange",7,44
RESEARCH DATA ANALYST II,5,8
(Worldpay) Privacy and Data Protection Specialist-Security Analyst for US/Europe,21,52
"Senior Systems Software Engineer, Data Center - CUDA",16,27
Data Governance Analyst  (3-5 years experience) - 3 days on-site -  1 year Contract to perm,23,38
Principal Data Platform/DevOps Engineer,13,18
Master Data Administrator (38111),19,30
"Research Data/Informatics Specialist, Senior- Winship Cancer Institute at Emory Healthcare/Emory University",21,5
Data Quality Engineer,28,57
Senior Business Data Analyst,25,55
Senior Data Center Operations Technician,2,32
Data Automation Technologist,10,39
Head of Machine Learning,24,14
Senior Manager of Software Engineering - Data Modernization,16,22
Data Network Engineering Manager,7,22
Databricks developer,17,26
"Senior Software Engineer, Machine Learning, Android",24,14
Junior Data Engineer,6,36
"Sr Software Engineer, Data Platform",13,6
Health Data Scientist – Senior Consultant,12,15
"Senior Manager, Consumer Data Strategy",7,3
"Senior AI/ML Engineer Team Lead - Waltham, MA",3,12
"Senior Data Architect, Principal",4,18
"Senior Programmer Analyst, Data",5,48
Early Learning Program Research Data Assessment/Observation - PART TIME TEMP HARRISBURG & Hershey PA Education Research Assistant,10,8
Finance Data Reporting Developer Sr.,17,9
Data Analyst Sr Advisor,5,59
Machine Learning Engineer-Deep Model Infrastructure,9,14
Senior Data Business Analyst,25,55
Data Management Analyst with Security Clearance,1,19
Senior Data Scientist - Behaivior,12,40
Configuration Management Analyst/Data Management Analyst with Security Clearance,1,53
Identity Data Management Instructor - Mid Level with Security Clearance,1,19
AML/BSA Specialist,21,5
Data Management Analyst - Anesthesiology,5,53
"Senior Data Operations Manager, Data Coordination Center (Hybrid) - Infectious Disease",2,32
Medical Laboratory Scientist MT/MLS Lab Lead 7548,11,45
Big Data Architect,29,17
Senior Product Manager AI/ML,3,12
MACHINE LEARNING RESEARCHER,24,14
"Director, Securities Data Management",10,53
"Sr. Application Software Engineer, Data (Top Secret Clearance)",16,6
Sustainability Data Portfolio Lead,27,58
Product Safety Systems Data Migration Specialist,21,27
Senior Peoplesoft Database Administrator (Hybrid/Remote Opportunity),19,23
Manager of Software Engineering - Data Tech,16,22
LAB - Medical Lab Technician (MLT) PRN,11,35
Database Security Engineering Manager,7,22
Summer 2024 Configuration and Data Management Intern -Graduate (R38241),0,53
IT Information Security & Data Protection Expert,10,39
Commissioning Manager - Data Centers,7,3
"Experienced - Asbestos/Mold Analyst - Eurofins EMLab P&K - Atlanta, GA",10,39
"Scheduler, Data Center",15,2
Sr. Data Engineer with Security Clearance,1,19
"Sr. Software Development Engineer, Kinesis Data Streams",16,6
"Agency Contract Job - School Psychologist - Hemlock, MI",10,39
Medical Laboratory Scientist (MLS) - Float,11,43
Lead Data Processor - Administrative Clerk,27,58
Sr. Business Manager - Data Strategy,7,3
Principal Engineer II: Enterprise Cloud and Data Center Storage Engineer,4,18
"Research Scientist III, Measurement, Ad Tech, and Data Science (MADS)",18,8
DataStage Architect,29,31
Federal Government Senior Data Scientist (Fully Remote),12,23
Data Governance Project Manager,23,24
"Manager, Data & Process Integration Governance, Americas",23,38
Data Support Supervisor,10,29
PROGRAM MANAGER III Manager of Geospatial Data and Analysis,7,3
Electronic Data Interchange Administrator,10,39
Computer Systems Analyst III-Database Manager,7,4
Application and Data Security Lead,27,58
"Mls Coordinator in Alpharetta, GA, USA",10,39
Data Engineer IV,6,36
Data Center Team Lead (Shift D),27,25
Cloud Senior Data Engineer,6,34
Sr Data Modeler - Onsite,10,13
"Principal Product Manager, ML Applications",4,44
Senior ML / AI Engineer,3,12
User Study Facilitator / Data Collection Moderator,10,39
