state,year,month,unemployment_rate,employment,labor_force
Arizona,2015.0,9.0,6.0,2932087.0,3119596.0
Arkansas,2015.0,9.0,4.6,1271022.0,1332649.0
California,2015.0,9.0,5.9,17720714.0,18832610.0
Colorado,2015.0,9.0,3.4,2724911.0,2821852.0
Connecticut,2015.0,9.0,5.5,1792415.0,1895796.0
Delaware,2015.0,9.0,4.7,442333.0,464181.0
District of Columbia,2015.0,9.0,6.7,357080.0,382552.0
Florida,2015.0,9.0,5.3,9104753.0,9615536.0
Georgia,2015.0,9.0,5.8,4455084.0,4731195.0
Hawaii,2015.0,9.0,3.2,662028.0,684081.0
Idaho,2015.0,9.0,3.9,771568.0,802951.0
Illinois,2015.0,9.0,5.9,6178507.0,6565320.0
Indiana,2015.0,9.0,4.5,3129795.0,3278980.0
Iowa,2015.0,9.0,3.6,1638374.0,1700298.0
Kansas,2015.0,9.0,4.0,1438185.0,1497880.0
Kentucky,2015.0,9.0,5.2,1874199.0,1976555.0
Louisiana,2015.0,9.0,6.0,2006675.0,2134210.0
Maine,2015.0,9.0,4.1,658183.0,686620.0
Maryland,2015.0,9.0,4.9,3013556.0,3168394.0
Massachusetts,2015.0,9.0,4.6,3442842.0,3610168.0
Michigan,2015.0,9.0,5.1,4536323.0,4779395.0
Minnesota,2015.0,9.0,3.7,2905367.0,3017390.0
Mississippi,2015.0,9.0,6.3,1182453.0,1262078.0
Missouri,2015.0,9.0,4.8,2904897.0,3050791.0
Montana,2015.0,9.0,4.2,498755.0,520872.0
Nebraska,2015.0,9.0,3.0,986287.0,1017033.0
Nevada,2015.0,9.0,6.6,1303525.0,1395804.0
New Hampshire,2015.0,9.0,3.2,722671.0,746425.0
New Jersey,2015.0,9.0,5.3,4345839.0,4589208.0
New Mexico,2015.0,9.0,6.6,877366.0,939512.0
New York,2015.0,9.0,4.9,9254257.0,9732729.0
North Carolina,2015.0,9.0,5.6,4451487.0,4714568.0
North Dakota,2015.0,9.0,2.8,400709.0,412104.0
Ohio,2015.0,9.0,4.8,5443268.0,5715547.0
Oklahoma,2015.0,9.0,4.3,1743041.0,1821679.0
Oregon,2015.0,9.0,5.3,1880948.0,1985425.0
Pennsylvania,2015.0,9.0,5.3,6142650.0,6486574.0
Rhode Island,2015.0,9.0,5.7,530670.0,562994.0
South Carolina,2015.0,9.0,5.6,2116812.0,2241281.0
South Dakota,2015.0,9.0,2.9,436979.0,450221.0
Tennessee,2015.0,9.0,5.3,2919088.0,3081151.0
Texas,2015.0,9.0,4.5,12457708.0,13043523.0
Utah,2015.0,9.0,3.5,1417085.0,1468803.0
Vermont,2015.0,9.0,3.4,338696.0,350639.0
Virginia,2015.0,9.0,4.2,4046350.0,4221591.0
Washington,2015.0,9.0,5.4,3367955.0,3561553.0
West Virginia,2015.0,9.0,6.5,738169.0,789089.0
Wisconsin,2015.0,9.0,4.3,2962659.0,3094258.0
Wyoming,2015.0,9.0,4.4,286971.0,300090.0
Alabama,2015.0,10.0,6.0,2042129.0,2173053.0
Alaska,2015.0,10.0,6.3,337673.0,360364.0
Arizona,2015.0,10.0,5.9,2938149.0,3123660.0
Arkansas,2015.0,10.0,4.5,1272936.0,1332905.0
California,2015.0,10.0,5.8,17749464.0,18846578.0
Colorado,2015.0,10.0,3.4,2732409.0,2827738.0
Connecticut,2015.0,10.0,5.4,1792613.0,1895443.0
